asset_tag,asset_name,category,status,location,item_lifespan,disposal_method,acquisition_date
IL-MSE-N/A-044,MOUSE (A4TECH),MOUSE (A4TECH),Assigned,ROOM 103,5,,
IL-MSE-N/A-045,MOUSE (A4TECH),MOUSE (A4TECH),Assigned,ROOM 103,5,,
IL-MSE-N/A-046,MOUSE (A4TECH),MOUSE (A4TECH),Assigned,ROOM 105,5,,
IL-MSE-N/A-047,MOUSE (A4TECH),MOUSE (A4TECH),Assigned,ROOM 106,5,,
IL-MSE-N/A-048,MOUSE (A4TECH),MOUSE (A4TECH),Assigned,ROOM 107,5,,
IL-MSE-N/A-049,MOUSE (HP),MOUSE (HP),Assigned,ROOM 108,5,,
IL-MSE-N/A-050,MOUSE(DigitTech),MOUSE(DigitTech),Assigned,TRAINING,5,,
IL-MSE-N/A-051,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,ADMIN,5,,
IL-MSE-N/A-052,MOUSE(Generic),MOUSE(Generic),Assigned,ADMIN,5,,
IL-MSE-N/A-053,MOUSE(Generic),MOUSE(Generic),Assigned,CASHIER,5,,
IL-MSE-N/A-054,MOUSE(generic),MOUSE(generic),Assigned,FINANCE,5,,
IL-MSE-N/A-055,MOUSE(Generic),MOUSE(Generic),Assigned,FINANCE,5,,
IL-MSE-N/A-056,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,IT/CCTV,5,,
IL-MSE-N/A-057,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,REGISTRATION,5,,
IL-MSE-N/A-058,MOUSE(GENERIC),MOUSE(GENERIC),Assigned,REGISTRATION,5,,
IL-MSE-N/A-059,MOUSE(Generic),MOUSE(Generic),Assigned,REGISTRATION,5,,
IL-MSE-N/A-060,MOUSE(Generic),MOUSE(Generic),Assigned,REGISTRATION,5,,
IL-MSE-N/A-061,MOUSE(MotoSpeed),MOUSE(MotoSpeed),Assigned,101-ANNEX,5,,
IL-MSE-N/A-062,MOUSE(MotoSpeed),MOUSE(MotoSpeed),Assigned,102-ANNEX,5,,
IL-MSE-N/A-063,MOUSE(MotoSpeed),MOUSE(MotoSpeed),Assigned,103-ANNEX,5,,
IL-MSE-N/A-064,MOUSE(MotoSpeed),MOUSE(MotoSpeed),Assigned,104-ANNEX,5,,
IL-MSE-N/A-065,MOUSE(MotoSpeed),MOUSE(MotoSpeed),Assigned,105-ANNEX,5,,
IL-MSE-N/A-066,MOUSE(MotoSpeed),MOUSE(MotoSpeed),Assigned,106-ANNEX,5,,
IL-MSE-N/A-067,MOUSE(MotoSpeed),MOUSE(MotoSpeed),Assigned,107-ANNEX,5,,
IL-MSE-N/A-068,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,TRAINING-ANNEX,5,,
IL-MSE-N/A-069,MOUSE(HUAWEI),MOUSE(HUAWEI),Assigned,REGISTRATION,5,,
IL-MSE-N/A-070,MOUSE(HUAWEI),MOUSE(HUAWEI),Assigned,REGISTRATION,5,,
IL-MSE-N/A-071,MOUSE (A4TECH),MOUSE (A4TECH),Assigned,Admin,5,,
IL-MSE-N/A-072,MOUSE (PHILLIPS),MOUSE (PHILLIPS),Assigned,ROOM 306,5,,
